1,660,177
2,1043,492
3,3175,539
4,3769,548
5,3831,242
6,929,127
7,660,655
8,693,491
9,1239,441
10,663,201
11,898,135
12,898,135
13,988,101
14,988,101
15,988,101
16,988,101
17,1055,123
18,1178,100
19,1328,129
20,1268,447
21,1121,472
22,546,299
23,128,60
24,39,23
25,103,247
26,244,546
27,605,493
28,364,467
29,248,435
30,153,469
31,111,500
32,256,563
33,680,80
34,420,102
35,400,107
36,400,107
37,400,107
38,400,107
39,400,107
40,400,107
41,400,107
42,112,95
43,670,489
44,880,564
45,1157,611
46,800,415
47,1342,556
48,1545,520
49,1671,461
50,2059,589
51,1740,526
52,2072,459
53,2400,647
54,2290,469
